songNumber_x,songName_x,spanish_number,english_number,songNumber_y,songName_y
160,Softly Now the Light of Day,96.0,160.0,96.0,El ocaso viene ya
161,The Lord Be with Us,,,,
162,"Lord, We Come before Thee Now",97.0,162.0,97.0,"Ante Ti, Señor, Tu grey"
163,"Lord, Dismiss Us with Thy Blessing",100.0,163.0,100.0,"Dios, bendícenos"
164,"Great God, to Thee My Evening Song",,,,
165,Abide with Me; ’Tis Eventide,98.0,165.0,98.0,"Conmigo quédate, Señor"
166,Abide with Me!,99.0,166.0,99.0,Acompáñame
167,"Come, Let Us Sing an Evening Hymn",,,,
168,As the Shadows Fall,,,,
169,As Now We Take the Sacrament,,,,
170,"God, Our Father, Hear Us Pray",101.0,170.0,101.0,"Dios, escúchanos orar"
171,With Humble Heart,,,,
172,"In Humility, Our Savior",102.0,172.0,102.0,Hoy con humildad te pido
173,While of These Emblems We Partake,103.0,173.0,103.0,La Santa Cena
174,While of These Emblems We Partake,,,,
175,"O God, the Eternal Father",104.0,175.0,104.0,"Oh Dios, Eterno Padre"
176,’Tis Sweet to Sing the Matchless Love,,,,
177,’Tis Sweet to Sing the Matchless Love,106.0,177.0,106.0,Cuán grato es cantar loor
178,O Lord of Hosts,107.0,178.0,107.0,Pedimos Tu Espíritu
179,"Again, Our Dear Redeeming Lord",,,,
180,"Father in Heaven, We Do Believe",,,,
181,"Jesus of Nazareth, Savior and King",105.0,181.0,105.0,Jesús de Nazaret
182,We’ll Sing All Hail to Jesus’ Name,109.0,182.0,109.0,Cantemos todos a Jesús
183,In Remembrance of Thy Suffering,110.0,183.0,110.0,En memoria de Tu muerte
184,Upon the Cross of Calvary,111.0,184.0,111.0,"En el Calvario, en la cruz"
185,Reverently and Meekly Now,108.0,185.0,108.0,"Mansos, reverentes hoy"
186,Again We Meet around the Board,113.0,186.0,113.0,Ya nos juntamos otra vez
187,"God Loved Us, So He Sent His Son",112.0,187.0,112.0,El Padre tanto nos amó
188,"Thy Will, O Lord, Be Done",,,,
189,"O Thou, Before the World Began",,,,
190,In Memory of the Crucified,115.0,190.0,115.0,"Nos reunimos, Padre, hoy"
191,Behold the Great Redeemer Die,114.0,191.0,114.0,"Cristo, el Redentor, murió"
192,He Died! The Great Redeemer Died,117.0,192.0,117.0,¡Murió! El Redentor murió
193,I Stand All Amazed,118.0,193.0,118.0,Asombro me da
194,There Is a Green Hill Far Away,119.0,194.0,119.0,En un lejano cerro fue
195,How Great the Wisdom and the Love,116.0,195.0,116.0,"Jesús, en la corte celestial"
196,"Jesus, Once of Humble Birth",120.0,196.0,120.0,Tan humilde al nacer
197,"O Savior, Thou Who Wearest a Crown",,,,
198,That Easter Morn,,,,
199,He Is Risen!,121.0,199.0,121.0,Himno de la Pascua de Resurrección
200,Christ the Lord Is Risen Today,122.0,200.0,122.0,Cristo ha resucitado
201,Joy to the World,123.0,201.0,123.0,¡Regocijad! Jesús nació
202,"Oh, Come, All Ye Faithful",124.0,202.0,124.0,"Venid, adoremos"
203,Angels We Have Heard on High,126.0,203.0,126.0,Cantan santos ángeles
204,Silent Night,127.0,204.0,127.0,Noche de luz
205,Once in Royal David’s City,,,,
206,Away in a Manger,125.0,206.0,125.0,Jesús en pesebre
207,It Came upon the Midnight Clear,128.0,207.0,128.0,A medianoche se oyó
208,O Little Town of Bethlehem,129.0,208.0,129.0,"Oh, pueblecito de Belén"
209,Hark! The Herald Angels Sing,130.0,209.0,130.0,Escuchad el son triunfal
210,With Wondering Awe,131.0,210.0,131.0,Asombro dio a los magos
211,While Shepherds Watched Their Flocks,,,,
212,"Far, Far Away on Judea’s Plains",134.0,212.0,134.0,"En la Judea, en tierra de Dios"
213,The First Noel,132.0,213.0,132.0,La primera Navidad
214,I Heard the Bells on Christmas Day,133.0,214.0,133.0,Campanas de Navidad
215,"Ring Out, Wild Bells",,,,
216,We Are Sowing,135.0,216.0,135.0,Hoy sembramos la semilla
217,"Come, Let Us Anew",,,,
218,We Give Thee But Thine Own,,,,
219,Because I Have Been Given Much,137.0,219.0,137.0,"Tú me has dado muchas bendiciones, Dios"
220,"Lord, I Would Follow Thee",138.0,220.0,138.0,"Señor, yo te seguiré"
220,"Lord, I Would Follow Thee",138.0,220.0,138.0,"Señor, yo te seguiré"
221,Dear to the Heart of the Shepherd,139.0,221.0,139.0,Ama el Pastor las ovejas
222,"Hear Thou Our Hymn, O Lord",,,,
223,Have I Done Any Good?,141.0,223.0,141.0,¿En el mundo he hecho bien?
224,I Have Work Enough to Do,,,,
225,We Are Marching On to Glory,144.0,225.0,144.0,A la gloria marcharemos
226,Improve the Shining Moments,,,,
227,There Is Sunshine in My Soul Today,146.0,227.0,146.0,Tengo gozo en mi alma hoy
228,You Can Make the Pathway Bright,148.0,228.0,148.0,Si hay gozo en tu corazón
229,"Today, While the Sun Shines",149.0,229.0,149.0,Trabajad con fervor
230,Scatter Sunshine,150.0,230.0,150.0,Siembra gozo
230,Scatter Sunshine,150.0,230.0,150.0,Siembra gozo
231,"Father, Cheer Our Souls Tonight",,,,
232,Let Us Oft Speak Kind Words,151.0,232.0,151.0,"Oh, hablemos con tiernos acentos"
233,"Nay, Speak No Ill",,,,
234,"Jesus, Mighty King in Zion",,,,
235,Should You Feel Inclined to Censure,,,,
236,"Lord, Accept into Thy Kingdom",,,,
237,Do What Is Right,154.0,237.0,154.0,Haz tú lo justo
238,"Behold Thy Sons and Daughters, Lord",,,,
239,Choose the Right,155.0,239.0,155.0,Haz el bien
240,"Know This, That Every Soul Is Free",,,,
241,Count Your Blessings,157.0,241.0,157.0,Cuenta tus bendiciones
241,Count Your Blessings,157.0,241.0,157.0,Cuenta tus bendiciones
242,"Praise God, from Whom All Blessings Flow",140.0,242.0,140.0,A Dios el Padre y a Jesús
243,Let Us All Press On,158.0,243.0,158.0,Trabajemos hoy en la obra
244,"Come Along, Come Along",,,,
245,This House We Dedicate to Thee,,,,
246,"Onward, Christian Soldiers",159.0,246.0,159.0,Con valor marchemos
247,"We Love Thy House, O God",160.0,247.0,160.0,"Tu casa amamos, Dios"
248,"Up, Awake, Ye Defenders of Zion",,,,
249,Called to Serve,161.0,249.0,161.0,Llamados a servir
250,We Are All Enlisted,162.0,250.0,162.0,Somos los soldados
251,Behold! A Royal Army,163.0,251.0,163.0,¡Mirad! Reales huestes
252,Put Your Shoulder to the Wheel,164.0,252.0,164.0,Pon tu hombro a la lid
252,Put Your Shoulder to the Wheel,164.0,252.0,164.0,Pon tu hombro a la lid
253,Like Ten Thousand Legions Marching,,,,
254,True to the Faith,166.0,254.0,166.0,Firmes creced en la fe
254,True to the Faith,166.0,254.0,166.0,Firmes creced en la fe
255,Carry On,167.0,255.0,167.0,A vencer
255,Carry On,167.0,255.0,167.0,A vencer
256,As Zion’s Youth in Latter Days,,,,
257,Rejoice! A Glorious Sound Is Heard,,,,
258,O Thou Rock of Our Salvation,,,,
259,Hope of Israel,168.0,259.0,168.0,Juventud de Israel
260,Who’s on the Lord’s Side?,170.0,260.0,170.0,¿Quién sigue al Señor?
261,Thy Servants Are Prepared,,,,
262,"Go, Ye Messengers of Glory",,,,
263,Go Forth with Faith,169.0,263.0,169.0,Al mundo ve a predicar
264,"Hark, All Ye Nations!",171.0,264.0,171.0,La luz de la verdad
265,"Arise, O God, and Shine",,,,
266,The Time Is Far Spent,173.0,266.0,173.0,El fin se acerca
267,How Wondrous and Great,174.0,267.0,174.0,Qué maravillosas Tus obras
268,"Come, All Whose Souls Are Lighted",,,,
269,"Jehovah, Lord of Heaven and Earth",156.0,269.0,156.0,"Señor del cielo, Jehová"
270,I’ll Go Where You Want Me to Go,175.0,270.0,175.0,A donde me mandes iré
270,I’ll Go Where You Want Me to Go,175.0,270.0,175.0,A donde me mandes iré
271,"Oh, Holy Words of Truth and Love",176.0,271.0,176.0,Palabras de amor
272,"Oh Say, What Is Truth?",177.0,272.0,177.0,¿Qué es la verdad?
273,Truth Reflects upon Our Senses,178.0,273.0,178.0,Nuestra mente se refleja
274,The Iron Rod,179.0,274.0,179.0,La barra de hierro
274,The Iron Rod,179.0,274.0,179.0,La barra de hierro
275,Men Are That They Might Have Joy,,,,
276,Come Away to the Sunday School,181.0,276.0,181.0,Cuando raya el nuevo dia
276,Come Away to the Sunday School,181.0,276.0,181.0,Cuando raya el nuevo dia
277,As I Search the Holy Scriptures,180.0,277.0,180.0,Al leer las Escrituras
278,Thanks for the Sabbath School,,,,
279,Thy Holy Word,165.0,279.0,165.0,Tu palabra
279,Thy Holy Word,165.0,279.0,165.0,Tu palabra
280,"Welcome, Welcome, Sabbath Morning",182.0,280.0,182.0,"Bienvenido, día santo"
281,Help Me Teach with Inspiration,172.0,281.0,172.0,Cuando enseñe a Tus hijos
282,We Meet Again in Sabbath School,,,,
283,The Glorious Gospel Light Has Shone,185.0,283.0,185.0,En los postreros días
284,If You Could Hie to Kolob,,,,
285,God Moves in a Mysterious Way,191.0,285.0,191.0,Con maravillas obra Dios
286,"Oh, What Songs of the Heart",,,,
287,"Rise, Ye Saints, and Temples Enter",184.0,287.0,184.0,"Id, oh santos, a los templos"
288,"How Beautiful Thy Temples, Lord",,,,
289,Holy Temples on Mount Zion,183.0,289.0,183.0,Santos templos de Sión
290,"Rejoice, Ye Saints of Latter Days",,,,
291,Turn Your Hearts,186.0,291.0,186.0,Volved vuestro corazón
292,O My Father,187.0,292.0,187.0,Oh mi Padre
293,Each Life That Touches Ours for Good,188.0,293.0,188.0,Quienes nos brindan su amor
294,Love at Home,194.0,294.0,194.0,Cuando hay amor
294,Love at Home,194.0,294.0,194.0,Cuando hay amor
295,O Love That Glorifies the Son,189.0,295.0,189.0,"Oh Padre, llénanos de amor"
296,"Our Father, by Whose Name",,,,
297,From Homes of Saints Glad Songs Arise,,,,
298,Home Can Be a Heaven on Earth,193.0,298.0,193.0,El hogar es como el cielo
299,Children of Our Heavenly Father,204.0,299.0,204.0,Hijos de nuestro Padre
300,Families Can Be Together Forever,195.0,300.0,195.0,Las familias pueden ser eternas
300,Families Can Be Together Forever,195.0,300.0,195.0,Las familias pueden ser eternas
301,I Am a Child of God,196.0,301.0,196.0,Soy un hijo de Dios
302,I Know My Father Lives,199.0,302.0,199.0,Dios vive
303,Keep the Commandments,197.0,303.0,197.0,Siempre obedece los mandamientos
304,Teach Me to Walk in the Light,198.0,304.0,198.0,Hazme andar en la luz
305,The Light Divine,200.0,305.0,200.0,La luz de Dios
305,The Light Divine,200.0,305.0,200.0,La luz de Dios
306,God’s Daily Care,201.0,306.0,201.0,Dios cuida a sus hijos
306,God’s Daily Care,201.0,306.0,201.0,Dios cuida a sus hijos
307,In Our Lovely Deseret,202.0,307.0,202.0,En el pueblo de Sión
308,Love One Another,203.0,308.0,203.0,Amad a otros
308,Love One Another,203.0,308.0,203.0,Amad a otros
309,As Sisters in Zion (Women),205.0,309.0,205.0,Sirvamos unidas (Mujeres)
310,A Key Was Turned in Latter Days (Women),,,,
311,We Meet Again as Sisters (Women),,,,
312,We Ever Pray for Thee (Women),,,,
313,God Is Love (Women),,,,
314,How Gentle God’s Commands (Women),,,,
315,"Jesus, the Very Thought of Thee (Women)",,,,
316,The Lord Is My Shepherd (Women),,,,
317,Sweet Is the Work (Women),,,,
318,Love at Home (Women),,,,
319,Ye Elders of Israel (Men),209.0,319.0,209.0,Oh élderes de Israel (Hombres)
320,The Priesthood of Our Lord (Men),,,,
321,Ye Who Are Called to Labor (Men),207.0,321.0,207.0,Oh vos que sois llamados (Hombres)
322,"Come, All Ye Sons of God (Men)",206.0,322.0,206.0,"Venid, los que tenéis de Dios el sacerdocio (Hombres)"
323,"Rise Up, O Men of God (Men’s Choir)",,,,
324,"Rise Up, O Men of God (Men)",,,,
325,See the Mighty Priesthood Gathered (Men’s Choir),,,,
326,"Come, Come, Ye Saints (Men’s Choir)",,,,
